Error Type;Error Scope;Comment;Mode of Demise;Mode of Demise_P;Mode of Demise_TP;Mode of Demise_FP;Mode of Demise_FN;Mode of Demise_TN;Victim;Victim_P;Victim_TP;Victim_FP;Victim_FN;Victim_TN;Perpetrator;Perpetrator_P;Perpetrator_TP;Perpetrator_FP;Perpetrator_FN;Perpetrator_TN;Classification;Reason;Presentation mode;Narrator POV;words
False positive;Question Answering;;unspecified;blood seeping out;0;1;0;0;Polyxena;Polyxena;1;0;0;0;unspecified;unknown;0;0;0;1;Partially Correct;Errors in: Mode of Demise (FP or FN) with at least one TP;narrator;first;1175
False negative;Question Answering;;sacrifice;;0;0;1;0;Cassandra's father;;0;0;1;0;Pyrrhus;;0;0;1;0;Incorrect;All three elements have FP or FN.;narrator;first;1175
False negative;Question Answering;;sacrifice;;0;0;1;0;Polites;;0;0;1;0;Pyrrhus;;0;0;1;0;Incorrect;All three elements have FP or FN.;narrator;first;1175
;;;slaying;slain with sword;1;0;0;0;Agamemnon;Agamemnon;1;0;0;0;Agamemnon's wife;Clytemnestra;1;0;0;0;Correct;No errors for Victim, Perpetrator, or Mode of Demise.;narrator;first;1175
;;;slaying;slain with sword;1;0;0;0;Cassandra;Cassandra;1;0;0;0;Agamemnon's wife;Clytemnestra;1;0;0;0;Correct;No errors for Victim, Perpetrator, or Mode of Demise.;direct thought;first;1175
False negative;Question Answering;mode of demise not detected;drowning;unknown;0;0;1;0;Polydorus;Polydorus;1;0;0;0;---;unknown;0;0;0;1;Partially Correct;Errors in: Mode of Demise (FP or FN) with at least one TP;narrator;first;1175
False negative;Question Answering;;sacrifice;;0;0;1;0;Iphigenia;;0;0;1;0;Agamemnon;;0;0;1;0;Incorrect;Errors but no TPs.;narrator;first;1175
;;;being shot;arrow to neck;1;0;0;0;Antinous;Antinous;1;0;0;0;Odysseus;Odysseus;1;0;0;0;Correct;No errors for Victim, Perpetrator, or Mode of Demise.;narrator;third;2954
;;;slaying;sword;1;0;0;0;Eurynomus;Eurynomus;1;0;0;0;Odysseus;Odysseus;1;0;0;0;Correct;No errors for Victim, Perpetrator, or Mode of Demise.;indirect thought;third;2954
Generic character death;Question Answering;;being shot;;0;0;1;0;a man;;0;0;1;0;Odysseus;;0;0;1;0;Incorrect;Errors but no TPs.;narrator;third;2954
False negative;Question Answering;;tearing to pieces;;0;0;1;0;Orpheus;;0;0;1;0;Dionysus;;0;0;1;0;Incorrect;All three elements have FP or FN.;narrator;first;3300
False negative;Question Answering;;unspecified;;0;0;0;1;Antigone;;0;0;1;0;Creon;;0;0;1;0;Incorrect;Errors but no TPs.;narrator;first;3300
False negative;Question Answering;;unspecified;;0;0;0;1;Iphegenia;;0;0;1;0;Clytmnestra's husband;;0;0;1;0;Incorrect;Errors but no TPs.;narrator;first;3300
False negative;Question Answering;;collapsing building;;0;0;1;0;Andromache's son;;0;0;1;0;;;0;0;0;1;Incorrect;Errors but no TPs.;direct speech;first;3300
Minor character death;Question Answering;;unspecified;;0;0;0;1;Hecuba's son;;0;0;1;0;a man;;0;0;1;0;Incorrect;Errors but no TPs.;narrator;first;3300
False negative;Question Answering;;sacrifice;;0;0;1;0;unspecified (He);;0;0;1;0;a man;;0;0;1;0;Incorrect;All three elements have FP or FN.;narrator;first;3300
False negative;Question Answering;;sacrifice;;0;0;1;0;Hecuba;;0;0;1;0;a man;;0;0;1;0;Incorrect;All three elements have FP or FN.;narrator;first;3300
False negative;Question Answering;;unspecified;;0;0;0;1;Circe;;0;0;1;0;Odysseus;;0;0;1;0;Incorrect;Errors but no TPs.;narrator;first;3300
False negative;Question Answering;;tearing to pieces;ripping to pieces and eating raw;1;0;0;0;unspecified;husband;0;1;0;0;unspecified;speaker;0;1;0;0;Partially Correct;Errors in: Victim (FP or FN), Perpetrator (FP or FN) with at least one TP;direct speech;first;3300
False negative;Question Answering;;being eaten;ripping to pieces and eating raw;1;0;0;0;unspecified;husband;0;1;0;0;unspecified;speaker;0;1;0;0;Partially Correct;Errors in: Victim (FP or FN), Perpetrator (FP or FN) with at least one TP;direct speech;first;3300
False negative;Question Answering;;unspecified;;0;0;0;1;Agrippina;;0;0;1;0;Nero;;0;0;1;0;Incorrect;Errors but no TPs.;narrator;first;3300
False positive;Question Answering;;;killing;0;1;0;0;;speaker;0;1;0;0;;son;0;1;0;0;Incorrect;All three elements have FP or FN.;;;3300
False negative;Question Answering;;unspecified;;0;0;0;1;Riliane's mother;;0;0;1;0;---;;0;0;0;1;Incorrect;Errors but no TPs.;indirect thought;third;679
False negative;Question Answering;;war;;0;0;1;0;people;;0;0;1;0;---;;0;0;0;1;Incorrect;Errors but no TPs.;narrator;third;679
Generic character death;Question Answering;;beheading;;0;0;1;0;Riliane/Cassandra;;0;0;1;0;unspecified;;0;0;0;1;Incorrect;Errors but no TPs.;narrator;third;679
;;;suicide;Suicide by jumping;1;0;0;0;Riliane/Cassandra;Riliane;1;0;0;0;---;Riliane herself;0;0;0;1;Correct;No errors for Victim, Perpetrator, or Mode of Demise.;narrator;third;679
False negative;Question Answering;;slaying;;0;0;1;0;Cassandra;;0;0;1;0;Agamemnon's wife;;0;0;1;0;Incorrect;All three elements have FP or FN.;narrator;first;1686
False negative;Question Answering;;slaying;;0;0;1;0;Agamemnon;;0;0;1;0;Agamemnon's wife;;0;0;1;0;Incorrect;All three elements have FP or FN.;narrator;first;1686
;;;unspecified;;0;0;0;1;Coroebus;Coroebus;1;0;0;0;unspecified;;0;0;0;1;Correct;No errors for Victim, Perpetrator, or Mode of Demise.;narrator;first;1686
;;;;;0;0;0;1;Priam;Priam;1;0;0;0;;;0;0;0;1;Correct;No errors for Victim, Perpetrator, or Mode of Demise.;narrator;first;1686
;;;;;0;0;0;1;Hector;Hector;1;0;0;0;;;0;0;0;1;Correct;No errors for Victim, Perpetrator, or Mode of Demise.;narrator;first;1686
;;;;;0;0;0;1;Deiphobus;Deiphobus;1;0;0;0;;;0;0;0;1;Correct;No errors for Victim, Perpetrator, or Mode of Demise.;narrator;first;1686
;;;;;0;0;0;1;Paris;Paris;1;0;0;0;;;0;0;0;1;Correct;No errors for Victim, Perpetrator, or Mode of Demise.;narrator;first;1686
;;;;;0;0;0;1;Antiphus;Antiphus;1;0;0;0;;;0;0;0;1;Correct;No errors for Victim, Perpetrator, or Mode of Demise.;narrator;first;1686
;;;;;0;0;0;1;Pammon;Pammon;1;0;0;0;;;0;0;0;1;Correct;No errors for Victim, Perpetrator, or Mode of Demise.;narrator;first;1686
;;;;;0;0;0;1;Hipponous;Hipponous;1;0;0;0;;;0;0;0;1;Correct;No errors for Victim, Perpetrator, or Mode of Demise.;narrator;first;1686
;;;;;0;0;0;1;Polydorus;Polydorus;1;0;0;0;;;0;0;0;1;Correct;No errors for Victim, Perpetrator, or Mode of Demise.;narrator;first;1686
;;;;;0;0;0;1;Troilus;Troilus;1;0;0;0;;;0;0;0;1;Correct;No errors for Victim, Perpetrator, or Mode of Demise.;narrator;first;1686
;;;;;0;0;0;1;Creusa;Creusa;1;0;0;0;;;0;0;0;1;Correct;No errors for Victim, Perpetrator, or Mode of Demise.;narrator;first;1686
;;;;;0;0;0;1;Polyxena;Polyxena;1;0;0;0;;;0;0;0;1;Correct;No errors for Victim, Perpetrator, or Mode of Demise.;narrator;first;1686
;;;slashing throat;Throat cut;1;0;0;0;Iphigenia;Iphigenia;1;0;0;0;Agamemnon;Agamemnon;1;0;0;0;Correct;No errors for Victim, Perpetrator, or Mode of Demise.;narrator;third;1111
;;;slaying;Axe to the head;1;0;0;0;Agamemnon;Agamemnon;1;0;0;0;Aegisthus;Aegisthus;1;0;0;0;Correct;No errors for Victim, Perpetrator, or Mode of Demise.;indirect thought;third;1111
False negative;Question Answering;;manipulation;;0;0;1;0;Agamemnon;;0;0;1;0;Clytemnestra;;0;0;1;0;Incorrect;All three elements have FP or FN.;indirect thought;third;1111
False negative;Question Answering;;curse/revenge;;0;0;1;0;Agamemnon;;0;0;1;0;Iphigenia;;0;0;1;0;Incorrect;All three elements have FP or FN.;indirect thought;third;1111
False negative;Question Answering;;curse/revenge;;0;0;1;0;Agamemnon;;0;0;1;0;Atropos;;0;0;1;0;Incorrect;All three elements have FP or FN.;indirect thought;third;1111
False positive;Question Answering;;;;0;0;0;1;;Electra;0;1;0;0;;;0;0;0;1;Incorrect;Errors but no TPs.;;;1111
False positive;Question Answering;INTERESTING ERROR ANALYSIS ASTERION WAS NOT KILLED BUT THE NARRATOR THINKS SO;;slain (past event);0;1;0;0;;Asterion the Minotaur;0;1;0;0;;None mentioned;0;0;0;1;Incorrect;Errors but no TPs.;;;979
False negative;Question Answering;;being eaten;;0;0;1;0;humans;;0;0;1;0;Asterion;;0;0;1;0;Incorrect;Errors but no TPs.;narrator;second;979
;;;slaying;Bloodshed;1;0;0;0;unspecified;Fallen men;0;0;0;1;unspecified;Greeks;1;0;0;0;Correct;No errors for Victim, Perpetrator, or Mode of Demise.;narrator;first;560
;;;burning;Burning;1;0;0;0;unspecified;Those trapped in houses;0;0;0;1;unspecified;None mentioned;0;0;0;1;Correct;No errors for Victim, Perpetrator, or Mode of Demise.;narrator;first;560
False positive;Question Answering;METAPHORICAL;;Rape and violence;0;1;0;0;;Cassandra;0;1;0;0;;Ajax;0;1;0;0;Incorrect;All three elements have FP or FN.;;;560
False negative;Question Answering;;petrification;;0;0;1;0;Perseus;;0;0;1;0;Medusa;;0;0;1;0;Incorrect;All three elements have FP or FN.;narrator;first;5714
False negative;Question Answering;;petrification;petrification;1;0;0;0;Theofylaktos;the male protagonist;1;0;0;0;Medusa;Athena;0;1;1;0;Partially Correct;Errors in: Perpetrator (FP or FN) with at least one TP;narrator;first;5714
Minor character death;Question Answering;;unspecified;;0;0;0;1;Heracles' music teacher;;0;0;1;0;Heracles;;0;0;1;0;Incorrect;Errors but no TPs.;narrator;first;4950
False negative;Question Answering;;slashing head off;;0;0;1;0;Hydra;;0;0;1;0;Heracles;;0;0;1;0;Incorrect;All three elements have FP or FN.;narrator;first;4950
False negative;Question Answering;;being shot;;0;0;1;0;Chiron;;0;0;1;0;Heracles;;0;0;1;0;Incorrect;All three elements have FP or FN.;narrator;first;4950
False negative;Question Answering;;unspecified;;0;0;0;1;a centaur;;0;0;1;0;Heracles;;0;0;1;0;Incorrect;Errors but no TPs.;narrator;first;4950
Generic character death;Question Answering;;being shot;;0;0;1;0;a centaur Nesso's;;0;0;1;0;Heracles;;0;0;1;0;Incorrect;All three elements have FP or FN.;narrator;first;4950
Generic character death;Question Answering;;snake bite;;0;0;1;0;Eurydice;;0;0;1;0;---;;0;0;0;1;Incorrect;Errors but no TPs.;narrator;first;4950
False negative;Question Answering;;tearing to pieces;;0;0;1;0;Orpheus;;0;0;1;0;followers of the Dionysus cult;;0;0;1;0;Incorrect;All three elements have FP or FN.;narrator;first;4950
Generic character death;Question Answering;;drought/famine;;0;0;1;0;mortals;;0;0;1;0;---;;0;0;0;1;Incorrect;Errors but no TPs.;narrator;first;4950
Generic character death;Question Answering;;flood;;0;0;1;0;mortals;;0;0;1;0;Zeus;;0;0;1;0;Incorrect;All three elements have FP or FN.;narrator;first;4950
False positive;Question Answering;;;eaten;0;1;0;0;;Prometheus' liver;0;1;0;0;;Eagle;0;1;0;0;Incorrect;"""So when Zeus took over he created his own human race, though they sort of just stayed babies for a 100 years then died.""";;;4950
Generic character death;Question Answering;;;;0;0;0;0;babies;;0;0;1;0;;;0;0;0;1;Incorrect;"""So when Zeus took over he created his own human race, though they sort of just stayed babies for a 100 years then died.""";narrator;first;4950
Generic character death;Question Answering;;petrification;;0;0;1;0;villagers;;0;0;1;0;Anithea/Clardusa;;0;0;1;0;Incorrect;All three elements have FP or FN.;narrator;third;2135
False negative;Question Answering;;petrification;;0;0;1;0;warriors;;0;0;1;0;Anithea/Clardusa;;0;0;1;0;Incorrect;All three elements have FP or FN.;narrator;third;2135
False positive;Question Answering;;;struck from behind;0;1;0;0;;soldier;0;1;0;0;;gorgon;0;1;0;0;Incorrect;All three elements have FP or FN.;;;2135
False positive;Question Answering;;beheading;beheaded;1;0;0;0;gorgon;gorgon;1;0;0;0;Perball;Perball;1;0;0;0;Correct;;narrator;third;2135
False negative;Question Answering;;slaying;;0;0;1;0;Clardusa;;0;1;0;0;many warriors;;0;0;1;0;Incorrect;Errors but no TPs.;narrator;third;2135
False negative;Question Answering;;stabbing;;0;0;1;0;Clardusa;;0;1;0;0;Villager's wife;;0;0;1;0;Incorrect;Errors but no TPs.;narrator;third;2135
;;;being choked;strangulation;1;0;0;0;Antigone;Antigone;1;0;0;0;Ismene's uncle;Creon;1;0;0;0;Correct;No errors for Victim, Perpetrator, or Mode of Demise.;narrator;third;1117
False negative;Question Answering;;being choked;;0;0;1;0;Alicent Hightower;;0;0;1;0;Melinoë;;0;0;1;0;Incorrect;All three elements have FP or FN.;indirect thought;third;3488
False negative;Question Answering;;;;0;0;0;1;grandfather;;0;0;1;0;Melinoë;;0;0;1;0;Incorrect;All three elements have FP or FN.;narrator;third;3488
False negative;Question Answering;;physical weakness due to extensive childbearing;;0;0;1;0;Queen Aemma;;0;0;1;0;;;0;0;0;1;Incorrect;All three elements have FP or FN.;direct speech;third;3488
False negative;Question Answering;;;;0;0;0;1;Viserys' six children;;0;0;1;0;;;0;0;0;1;Incorrect;All three elements have FP or FN.;direct speech;third;3488
False negative;Question Answering;;unspecified;;0;0;0;1;the old queen;;0;0;1;0;---;;0;0;0;1;Incorrect;Errors but no TPs.;narrator;first;6256
False negative;Question Answering;;manipulation, looking at a divine aura;;0;0;1;0;Semele;;0;0;1;0;Zeus;;0;0;1;0;Incorrect;All three elements have FP or FN.;narrator;third;1637
Minor character death;Question Answering;;unspecified;;0;0;0;1;Klytemnestra's husband and son;;0;0;1;0;Agamemnon;;0;0;1;0;Incorrect;Errors but no TPs.;indirect thought;third;6448
False negative;Question Answering;;sacrifice;;0;0;1;0;Iphigenia;;0;0;1;0;Agamemnon;;0;0;1;0;Incorrect;All three elements have FP or FN.;direct speech;third;6448
;;;stabbing;stabbing;1;0;0;0;Agamemnon;Agamemnon;1;0;0;0;Klytemnestra;Klytemnestra;1;0;0;0;Correct;No errors for Victim, Perpetrator, or Mode of Demise.;narrator;third;6448
False negative;Question Answering;;stabbing ;;0;0;1;0;Kassandra;;0;0;1;0;Klytemnestra;;0;0;1;0;Incorrect;All three elements have FP or FN.;narrator;third;6448
False negative;Question Answering;;drowning;;0;0;1;0;Original Character;;0;0;1;0;;;0;0;0;1;Incorrect;Errors but no TPs.;narrator;first;1974
False positive;Question Answering;Predicted mode of demise is more specific than annotated one;;attack by bear;0;1;0;0;;narrator (child);0;1;0;0;;bear;0;1;0;0;Incorrect;All three elements have FP or FN.;;;1974
False negative;Question Answering;;struck by lightening;;0;0;1;0;Persephone;;0;0;1;0;Zeus;;0;0;1;0;Incorrect;All three elements have FP or FN.;direct speech;first;574
False negative;Question Answering;;;unknown;0;0;0;1;;crops of the Earth;0;1;0;0;;Kore;0;1;0;0;Incorrect;Errors but no TPs.;;;574
Generic character death;Question Answering;;starvation;;0;0;0;1;mortals;;0;0;0;1;Persephone;;0;0;1;0;Incorrect;All three elements have FP or FN.;direct speech;first;574
;;;tearing to pieces;tearing to pieces;1;0;0;0;Orpheus;Orpheus;1;0;0;0;Maenads;Maenads;1;0;0;0;Correct;No errors for Victim, Perpetrator, or Mode of Demise.;narrator;third;400
False positive;Question Answering;;;falling;0;1;0;0;;Eurydice;0;0;0;1;;-;0;0;0;1;Partially Correct;Errors in: Mode of Demise (FP or FN) with at least one TP;;;400
Generic character death;Question Answering;;petrification;;0;0;1;0;many men;;0;0;1;0;Medusa;;0;0;1;0;Incorrect;All three elements have FP or FN.;narrator;third;1154
False positive;Question Answering;Is perseus Thunder's son?;slaying;beheading;1;0;0;0;Medusa;Medusa;1;0;0;0;thunder's son;Perceus;0;1;1;0;Partially Correct;Errors in: Perpetrator (FP or FN) with at least one TP;narrator;third;1154
False positive;Question Answering;;;drowning;0;1;0;0;;multiple men;0;1;0;0;;Sea;0;1;0;0;Incorrect;All three elements have FP or FN.;;;1154
;;;manipulation, intercourse, struck by lightning ;divine lightning;1;0;0;0;Semele;Semele;1;0;0;0;Zeus;Zeus;1;0;0;0;Correct;No errors for Victim, Perpetrator, or Mode of Demise.;narrator;third;805
Generic character death;Question Answering;;drowning/death by seamonster;;0;0;1;0;unnamed;;0;0;0;1;Scylla;;0;0;1;0;Incorrect;Errors but no TPs.;narrator;third;5134
Generic character death;Question Answering;;self-sacrifice;;0;0;1;0;Demetrius;;0;0;1;0;Scylla;;0;0;1;0;Incorrect;All three elements have FP or FN.;narrator;third;5134
False positive;Question Answering;;self-sacrifice;;0;0;1;0;unnamed;;0;0;0;1;Scylla;;0;0;1;0;Incorrect;Errors but no TPs.;direct speech;third;5134
Generic character death;Question Answering;;; Choice;0;1;0;0;;;0;0;0;1;;;0;0;0;1;Incorrect;Errors but no TPs.;;;5134
False negative;Question Answering;;snake bite;unknown;0;0;1;0;Eurydice;Eurydice;1;0;0;0;Apollo;none mentioned;0;1;1;0;Partially Correct;Errors in: Perpetrator (FP or FN), Mode of Demise (FP or FN) with at least one TP;direct speech;first;5430
False negative;Question Answering;;snake bite;;0;0;1;0;Artemis;;0;0;1;0;Hera;;0;0;1;0;Incorrect;All three elements have FP or FN.;direct speech;first;4072
False negative;Question Answering;;unspecified;;0;0;0;1;Leto;;0;0;1;0;---;;0;0;0;1;Incorrect;Errors but no TPs.;direct speech;first;4072
False negative;Question Answering;;discus;discus injury;1;0;0;0;Hyacinthus;Hyacinthus;1;0;0;0;Zephyrus;Apollo;0;1;1;0;Partially Correct;Errors in: Perpetrator (FP or FN) with at least one TP;narrator;first;4072
