Error Type;Error Scope;(Major) Character Death Evidence;Presentation_Mode;Narrator_POV;Victim;Victim_P;Victim_TP;Victim_FP;Victim_FN;Victim_TN;Perpetrator;Perpetrator_P;Perpetrator_TP;Perpetrator_FP;Perpetrator_FN;Perpetrator_TN;Mode of Demise;Mode of Demise_P;Mode of Demise_TP;Mode of Demise_FP;Mode of Demise_FN;Mode of Demise_TN;summary_P;Classification;Reason;words
MIN;SUM;"""Her own nightmares about miners involved hanged men, ropes still around their necks, accusing her.""";indirect thought;third;miners;;0;0;1;0;Corrie;;0;0;1;0;hanging;;0;0;1;0;"Corrie Worth, a newly widowed woman, attends her husband Dixon's funeral, where she reflects on their complicated past. Dixon, the third-richest mine owner in Harlan County, married Corrie when she was young and poor, offering her peppermint candy to entice her into his Cadillac. Their marriage was marked by power imbalance and secrets, including Dixon's affair with a younger woman named Araminta Sizemore, who attempted suicide after their relationship ended. At the funeral, Corrie meets the girl, who mouths ""thank you"" to her, hinting at an unspoken connection. Sheriff J.H. Blair accuses striking miners of Dixon's murder, but Corrie knows the truth: she killed Dixon herself with a pickaxe, driven by her own strength and resolve. The story reveals Corrie's hidden resilience and the dark undercurrents of their marriage, as well as the broader tensions between mine owners and workers in Harlan County.";Incorrect;All three elements have FP or FN.;746
;;"""Thus at last by Dionysus’ command and the Maenad’s hands, he was torn limb from limb, split in two and three and four and ever smaller parts."" [...] ""They ate his innards still steaming hot and raw, they gnawed his flesh down to the bone and wolf cubs carried the bones away.""";narrator;third;Pentheus;Pentheus;1;0;0;0;Maenad;Maenads;1;0;0;0;tearing to pieces/being eaten;torn apart;1;0;0;0;Dionysus confronts Pentheus for mocking his rites and hands him over to the Maenads, who are furious at the violation of their sacred gathering. The Maenads, transformed by Dionysus into half-beast, half-human creatures, chase and capture Pentheus. Despite his pleas and attempts to reveal his identity, they brutally torture and kill him through various modes: tearing his flesh, breaking bones, and disemboweling him. Under Dionysus's command, Pentheus is forced to dance in agony, experiencing both pain and perverse pleasure until he is ultimately torn limb from limb. The Maenads use his remains as trophies, with Agave carrying his head back to Thebes.;Correct;No errors for Victim, Perpetrator, or Mode of Demise.;1269
MAJ;SUM;"""They were even angry that this delicate woman was to be sacrificed to the gods, her throat cut and her heart torn out to be burned on the sacred altar.""";narrator;third;Iphigenia;;0;0;1;0;Agamemnon;;0;0;1;0;sacrifice;;0;0;1;0;In the story, Cassandra and Iphigenia devise a plan to defy the gods, particularly Apollo and Artemis. Cassandra, determined to deny Apollo the pleasure of her suffering, takes Iphigenia's place as the intended sacrifice. Disguised as the princess, she confronts Calchas, the prophet who lied about Artemis demanding Iphigenia's sacrifice. When Calchas attempts to violate her, Cassandra kills both herself and Calchas using a dual-bladed dagger, declaring their deaths as a defiance against Apollo. The mode of demise for both Cassandra and Calchas is stabbing with the dagger, with Cassandra acting as both perpetrator and victim in her own death, while also perpetrating Calchas' murder. Iphigenia survives this confrontation but expresses her intent to seek Cassandra's shade in Hades, indicating her resolve to join her in death eventually.;Incorrect;All three elements have FP or FN.;2229
OK;;"""Cassandra, stripped of her clothing, picked up the dual-bladed dagger, took Iphigenia’s place under the cloth, and the mask covered her eyes."" [...] ""“Kiss me, Calchas, and your death through me.” With a mighty thrust, she yanked him down, breast to breast. Heart to heart. The dual bladed dagger sank deep into them both.""";narrator;third;Cassandra;Cassandra;1;0;0;0;---;Cassandra;0;1;0;0;self-sacrifice/stabbing;stabbing with dagger;1;0;0;0;In the story, Cassandra and Iphigenia devise a plan to defy the gods, particularly Apollo and Artemis. Cassandra, determined to deny Apollo the pleasure of her suffering, takes Iphigenia's place as the intended sacrifice. Disguised as the princess, she confronts Calchas, the prophet who lied about Artemis demanding Iphigenia's sacrifice. When Calchas attempts to violate her, Cassandra kills both herself and Calchas using a dual-bladed dagger, declaring their deaths as a defiance against Apollo. The mode of demise for both Cassandra and Calchas is stabbing with the dagger, with Cassandra acting as both perpetrator and victim in her own death, while also perpetrating Calchas' murder. Iphigenia survives this confrontation but expresses her intent to seek Cassandra's shade in Hades, indicating her resolve to join her in death eventually.;Partially Correct;Errors in: Perpetrator (FP or FN) with at least one TP;2229
;;"""Cassandra, stripped of her clothing, picked up the dual-bladed dagger, took Iphigenia’s place under the cloth, and the mask covered her eyes."" [...] ""“Kiss me, Calchas, and your death through me.” With a mighty thrust, she yanked him down, breast to breast. Heart to heart. The dual bladed dagger sank deep into them both.""";narrator;third;Calchas;Calchas;1;0;0;0;Cassandra;Cassandra;1;0;0;0;stabbing;stabbing with dagger;1;0;0;0;In the story, Cassandra and Iphigenia devise a plan to defy the gods, particularly Apollo and Artemis. Cassandra, determined to deny Apollo the pleasure of her suffering, takes Iphigenia's place as the intended sacrifice. Disguised as the princess, she confronts Calchas, the prophet who lied about Artemis demanding Iphigenia's sacrifice. When Calchas attempts to violate her, Cassandra kills both herself and Calchas using a dual-bladed dagger, declaring their deaths as a defiance against Apollo. The mode of demise for both Cassandra and Calchas is stabbing with the dagger, with Cassandra acting as both perpetrator and victim in her own death, while also perpetrating Calchas' murder. Iphigenia survives this confrontation but expresses her intent to seek Cassandra's shade in Hades, indicating her resolve to join her in death eventually.;Correct;No errors for Victim, Perpetrator, or Mode of Demise.;2229
FNmaj;KE;"""I dared Zephyros, the West Wind, who also loved Hyacinthus. I dared him to take him away from me. My greed caused his death.""";narrator;first;Hyacinthus;Hyacinthus;1;0;0;0;Zephyrus;;0;0;1;0;discus (implied);;0;0;1;0;Apollo reflects on his past actions with deep regret and sorrow, recounting how his relentless pursuit of Daphne led to her transformation into a laurel tree by the god Peneus. He acknowledges that his failure to let her go caused her destruction, contrasting it with the ideal of true love, which would have allowed her freedom. Apollo also grieves over the death of Hyacinthus, another lover whose demise he attributes to his own actions. He expresses guilt for taunting Zephyr and Eros, actions that contributed to both tragedies. The laurel wreath, made from Daphne’s leaves, serves as a symbol of his failure, ironically awarded to heroes for their victories. Apollo kneels in prayer, seeking forgiveness for his wrongdoings, while enduring the sharp pain of guilt and the enduring grief of losing two loves.;Partially Correct;Errors in: Perpetrator (FP or FN), Mode of Demise (FP or FN) with at least one TP;1337
FNmaj;KE;"""My heart stopped. So did his. A slight change in the wind destroyed everything. Instead of catching the diskus,it hit his head. Blood trickled from his head.""";narrator;first;Hyacinthus;;0;0;1;0;---;;0;0;0;1;discus;;0;0;1;0;Apollo reflects on his past actions with deep regret and sorrow, recounting how his relentless pursuit of Daphne led to her transformation into a laurel tree by the god Peneus. He acknowledges that his failure to let her go caused her destruction, contrasting it with the ideal of true love, which would have allowed her freedom. Apollo also grieves over the death of Hyacinthus, another lover whose demise he attributes to his own actions. He expresses guilt for taunting Zephyr and Eros, actions that contributed to both tragedies. The laurel wreath, made from Daphne’s leaves, serves as a symbol of his failure, ironically awarded to heroes for their victories. Apollo kneels in prayer, seeking forgiveness for his wrongdoings, while enduring the sharp pain of guilt and the enduring grief of losing two loves.;Incorrect;Errors but no TPs.;1337
FP;SUM;"""I left her no choice, and she sacrified her life to turn into a tree.""";narrator;first;Daphne;Daphne;1;0;0;0;---;Peneus;0;1;0;0;transformation;transformation into laurel tree;1;0;0;0;Apollo reflects on his past actions with deep regret and sorrow, recounting how his relentless pursuit of Daphne led to her transformation into a laurel tree by the god Peneus. He acknowledges that his failure to let her go caused her destruction, contrasting it with the ideal of true love, which would have allowed her freedom. Apollo also grieves over the death of Hyacinthus, another lover whose demise he attributes to his own actions. He expresses guilt for taunting Zephyr and Eros, actions that contributed to both tragedies. The laurel wreath, made from Daphne’s leaves, serves as a symbol of his failure, ironically awarded to heroes for their victories. Apollo kneels in prayer, seeking forgiveness for his wrongdoings, while enduring the sharp pain of guilt and the enduring grief of losing two loves.;Partially Correct;Errors in: Perpetrator (FP or FN) with at least one TP;1337
MIN;SUM;"""There’s been concerns about the disappearances in our community, and I think your involvement would be so helpful.""";direct speech;third;a neighbour;;0;0;1;0;a werewolf neighbour;;0;0;1;0;being eaten;;0;0;1;0;"The text describes several scenarios involving death and intimate encounters. In one narrative, Amber is drawn to a monstrous Beast with obsidian-like eyes and red fur, engaging in a passionate and sexual encounter with the creature. The Beast, known for devouring humans, becomes submissive as Amber explores its body, focusing on its pussy. This segment highlights a dynamic where the predator becomes prey, with Amber feasting on the Beast.  In another part, the narrator reflects on a river serving as a sanctuary during a prairie fire. The narrator’s parents are implied to have died before their bodies were consumed by flames, leaving the narrator abandoned and without resources. The river provides comfort, with hands emerging from the water to cradle the narrator’s soot-covered body.  The text also mentions Bronte worshiping the Minotaur Asterion’s cock, describing their intimate and obsessive relationship with the creature. This segment focuses on Bronte’s desire and submission to the Minotaur’s dominance.  Finally, the story concludes with five bodies—those of a doctor, twins, a taxidermist, and a camgirl—being laid in shallow graves. Worms feast on the decaying flesh, leading to the growth of embryos within them. These embryos are nourished by the corpses and eventually burst forth, suggesting a cycle of death and rebirth tied to the natural world.  Key details about deaths: - The parents’ deaths are implied, with their bodies consumed by fire in the prairie inferno. - The five victims (a doctor, twins, a taxidermist, and a camgirl) are buried in shallow graves, but the cause of their deaths is not explicitly stated. Their bodies serve as nourishment for worms, leading to the formation of embryos that eventually emerge.  No specific murderers or perpetrators are identified in the text; the deaths appear to be tied to environmental disasters or natural processes rather than deliberate acts of violence.";Incorrect;All three elements have FP or FN.;7210
MAJ;SUM;"""The cock was swelling with arousal, becoming so engorged that Daisy could feel her own looming death as she gazed upon it.""";narrator;third;Daisy;;0;0;1;0;a troll;;0;0;1;0;intercourse/rape;;0;0;1;0;"The text describes several scenarios involving death and intimate encounters. In one narrative, Amber is drawn to a monstrous Beast with obsidian-like eyes and red fur, engaging in a passionate and sexual encounter with the creature. The Beast, known for devouring humans, becomes submissive as Amber explores its body, focusing on its pussy. This segment highlights a dynamic where the predator becomes prey, with Amber feasting on the Beast.  In another part, the narrator reflects on a river serving as a sanctuary during a prairie fire. The narrator’s parents are implied to have died before their bodies were consumed by flames, leaving the narrator abandoned and without resources. The river provides comfort, with hands emerging from the water to cradle the narrator’s soot-covered body.  The text also mentions Bronte worshiping the Minotaur Asterion’s cock, describing their intimate and obsessive relationship with the creature. This segment focuses on Bronte’s desire and submission to the Minotaur’s dominance.  Finally, the story concludes with five bodies—those of a doctor, twins, a taxidermist, and a camgirl—being laid in shallow graves. Worms feast on the decaying flesh, leading to the growth of embryos within them. These embryos are nourished by the corpses and eventually burst forth, suggesting a cycle of death and rebirth tied to the natural world.  Key details about deaths: - The parents’ deaths are implied, with their bodies consumed by fire in the prairie inferno. - The five victims (a doctor, twins, a taxidermist, and a camgirl) are buried in shallow graves, but the cause of their deaths is not explicitly stated. Their bodies serve as nourishment for worms, leading to the formation of embryos that eventually emerge.  No specific murderers or perpetrators are identified in the text; the deaths appear to be tied to environmental disasters or natural processes rather than deliberate acts of violence.";Incorrect;All three elements have FP or FN.;7210
FNmin;SUM;"""The claws left my skin. Blood welled up from the countless wounds, as though to herald the glassy eyes that then emerged from the gore. They gazed both everywhere and nowhere, the dark pupils framed by eerily pale blue.""";narrator;first;unspecified;;0;0;0;1;angels;;0;0;1;0;stabbing;;0;0;1;0;"The text describes several scenarios involving death and intimate encounters. In one narrative, Amber is drawn to a monstrous Beast with obsidian-like eyes and red fur, engaging in a passionate and sexual encounter with the creature. The Beast, known for devouring humans, becomes submissive as Amber explores its body, focusing on its pussy. This segment highlights a dynamic where the predator becomes prey, with Amber feasting on the Beast.  In another part, the narrator reflects on a river serving as a sanctuary during a prairie fire. The narrator’s parents are implied to have died before their bodies were consumed by flames, leaving the narrator abandoned and without resources. The river provides comfort, with hands emerging from the water to cradle the narrator’s soot-covered body.  The text also mentions Bronte worshiping the Minotaur Asterion’s cock, describing their intimate and obsessive relationship with the creature. This segment focuses on Bronte’s desire and submission to the Minotaur’s dominance.  Finally, the story concludes with five bodies—those of a doctor, twins, a taxidermist, and a camgirl—being laid in shallow graves. Worms feast on the decaying flesh, leading to the growth of embryos within them. These embryos are nourished by the corpses and eventually burst forth, suggesting a cycle of death and rebirth tied to the natural world.  Key details about deaths: - The parents’ deaths are implied, with their bodies consumed by fire in the prairie inferno. - The five victims (a doctor, twins, a taxidermist, and a camgirl) are buried in shallow graves, but the cause of their deaths is not explicitly stated. Their bodies serve as nourishment for worms, leading to the formation of embryos that eventually emerge.  No specific murderers or perpetrators are identified in the text; the deaths appear to be tied to environmental disasters or natural processes rather than deliberate acts of violence.";Incorrect;Errors but no TPs.;7210
MIN;SUM;"""The bird tore at her with its massive beak, taking away chunks of hair and leaving blood gashes instead. She screamed her frustration and pulled away from the creature, but it was relentless in its assault."" [...] ""She wanted to scream, but the bird swooped down upon her, claws taking her own eyes. She would face her death in darkness.""";narrator;third;she;;0;0;1;0;a bird;;0;0;1;0;being eaten;;0;0;1;0;"The text describes several scenarios involving death and intimate encounters. In one narrative, Amber is drawn to a monstrous Beast with obsidian-like eyes and red fur, engaging in a passionate and sexual encounter with the creature. The Beast, known for devouring humans, becomes submissive as Amber explores its body, focusing on its pussy. This segment highlights a dynamic where the predator becomes prey, with Amber feasting on the Beast.  In another part, the narrator reflects on a river serving as a sanctuary during a prairie fire. The narrator’s parents are implied to have died before their bodies were consumed by flames, leaving the narrator abandoned and without resources. The river provides comfort, with hands emerging from the water to cradle the narrator’s soot-covered body.  The text also mentions Bronte worshiping the Minotaur Asterion’s cock, describing their intimate and obsessive relationship with the creature. This segment focuses on Bronte’s desire and submission to the Minotaur’s dominance.  Finally, the story concludes with five bodies—those of a doctor, twins, a taxidermist, and a camgirl—being laid in shallow graves. Worms feast on the decaying flesh, leading to the growth of embryos within them. These embryos are nourished by the corpses and eventually burst forth, suggesting a cycle of death and rebirth tied to the natural world.  Key details about deaths: - The parents’ deaths are implied, with their bodies consumed by fire in the prairie inferno. - The five victims (a doctor, twins, a taxidermist, and a camgirl) are buried in shallow graves, but the cause of their deaths is not explicitly stated. Their bodies serve as nourishment for worms, leading to the formation of embryos that eventually emerge.  No specific murderers or perpetrators are identified in the text; the deaths appear to be tied to environmental disasters or natural processes rather than deliberate acts of violence.";Incorrect;All three elements have FP or FN.;7210
MIN;SUM;"""The embalmer’s head fell back, and the gash along his throat spread into a visceral grin.""";narrator;third;the embalmer;;0;0;1;0;Kayde and Luanne;;0;0;1;0;slashing throat;;0;0;1;0;"The text describes several scenarios involving death and intimate encounters. In one narrative, Amber is drawn to a monstrous Beast with obsidian-like eyes and red fur, engaging in a passionate and sexual encounter with the creature. The Beast, known for devouring humans, becomes submissive as Amber explores its body, focusing on its pussy. This segment highlights a dynamic where the predator becomes prey, with Amber feasting on the Beast.  In another part, the narrator reflects on a river serving as a sanctuary during a prairie fire. The narrator’s parents are implied to have died before their bodies were consumed by flames, leaving the narrator abandoned and without resources. The river provides comfort, with hands emerging from the water to cradle the narrator’s soot-covered body.  The text also mentions Bronte worshiping the Minotaur Asterion’s cock, describing their intimate and obsessive relationship with the creature. This segment focuses on Bronte’s desire and submission to the Minotaur’s dominance.  Finally, the story concludes with five bodies—those of a doctor, twins, a taxidermist, and a camgirl—being laid in shallow graves. Worms feast on the decaying flesh, leading to the growth of embryos within them. These embryos are nourished by the corpses and eventually burst forth, suggesting a cycle of death and rebirth tied to the natural world.  Key details about deaths: - The parents’ deaths are implied, with their bodies consumed by fire in the prairie inferno. - The five victims (a doctor, twins, a taxidermist, and a camgirl) are buried in shallow graves, but the cause of their deaths is not explicitly stated. Their bodies serve as nourishment for worms, leading to the formation of embryos that eventually emerge.  No specific murderers or perpetrators are identified in the text; the deaths appear to be tied to environmental disasters or natural processes rather than deliberate acts of violence.";Incorrect;All three elements have FP or FN.;7210
MIN;SUM;"""Her brother’s corpse laid at her feet, belly already ruptured and skin a kaleidoscope of color.""";narrator;third;her brother;;0;0;1;0;a bird;;0;0;1;0;beaten to death;;0;0;1;0;"The text describes several scenarios involving death and intimate encounters. In one narrative, Amber is drawn to a monstrous Beast with obsidian-like eyes and red fur, engaging in a passionate and sexual encounter with the creature. The Beast, known for devouring humans, becomes submissive as Amber explores its body, focusing on its pussy. This segment highlights a dynamic where the predator becomes prey, with Amber feasting on the Beast.  In another part, the narrator reflects on a river serving as a sanctuary during a prairie fire. The narrator’s parents are implied to have died before their bodies were consumed by flames, leaving the narrator abandoned and without resources. The river provides comfort, with hands emerging from the water to cradle the narrator’s soot-covered body.  The text also mentions Bronte worshiping the Minotaur Asterion’s cock, describing their intimate and obsessive relationship with the creature. This segment focuses on Bronte’s desire and submission to the Minotaur’s dominance.  Finally, the story concludes with five bodies—those of a doctor, twins, a taxidermist, and a camgirl—being laid in shallow graves. Worms feast on the decaying flesh, leading to the growth of embryos within them. These embryos are nourished by the corpses and eventually burst forth, suggesting a cycle of death and rebirth tied to the natural world.  Key details about deaths: - The parents’ deaths are implied, with their bodies consumed by fire in the prairie inferno. - The five victims (a doctor, twins, a taxidermist, and a camgirl) are buried in shallow graves, but the cause of their deaths is not explicitly stated. Their bodies serve as nourishment for worms, leading to the formation of embryos that eventually emerge.  No specific murderers or perpetrators are identified in the text; the deaths appear to be tied to environmental disasters or natural processes rather than deliberate acts of violence.";Incorrect;All three elements have FP or FN.;7210
;;"""All five bodies were laid to rest in their shallow graves, all in a neat row. A doctor, a set of twins, a taxidermist,  and a camgirl. The freshly disturbed earth was as dark as the sky above.""";narrator;third;a doctor;doctor;1;0;0;0;unspecified;;0;0;0;1;unspecified;;0;0;0;1;"The text describes several scenarios involving death and intimate encounters. In one narrative, Amber is drawn to a monstrous Beast with obsidian-like eyes and red fur, engaging in a passionate and sexual encounter with the creature. The Beast, known for devouring humans, becomes submissive as Amber explores its body, focusing on its pussy. This segment highlights a dynamic where the predator becomes prey, with Amber feasting on the Beast.  In another part, the narrator reflects on a river serving as a sanctuary during a prairie fire. The narrator’s parents are implied to have died before their bodies were consumed by flames, leaving the narrator abandoned and without resources. The river provides comfort, with hands emerging from the water to cradle the narrator’s soot-covered body.  The text also mentions Bronte worshiping the Minotaur Asterion’s cock, describing their intimate and obsessive relationship with the creature. This segment focuses on Bronte’s desire and submission to the Minotaur’s dominance.  Finally, the story concludes with five bodies—those of a doctor, twins, a taxidermist, and a camgirl—being laid in shallow graves. Worms feast on the decaying flesh, leading to the growth of embryos within them. These embryos are nourished by the corpses and eventually burst forth, suggesting a cycle of death and rebirth tied to the natural world.  Key details about deaths: - The parents’ deaths are implied, with their bodies consumed by fire in the prairie inferno. - The five victims (a doctor, twins, a taxidermist, and a camgirl) are buried in shallow graves, but the cause of their deaths is not explicitly stated. Their bodies serve as nourishment for worms, leading to the formation of embryos that eventually emerge.  No specific murderers or perpetrators are identified in the text; the deaths appear to be tied to environmental disasters or natural processes rather than deliberate acts of violence.";Correct;No errors for Victim, Perpetrator, or Mode of Demise.;7210
MIN;SUM;"""Artemis knew the silver had to be a burning agony, but the wolves refused to yield. They tore open throats and pulled limbs from their sockets.""";narrator;third;hunters;;0;0;1;0;werewolves;;0;0;1;0;tearing to pieces;;0;0;1;0;"The text describes several scenarios involving death and intimate encounters. In one narrative, Amber is drawn to a monstrous Beast with obsidian-like eyes and red fur, engaging in a passionate and sexual encounter with the creature. The Beast, known for devouring humans, becomes submissive as Amber explores its body, focusing on its pussy. This segment highlights a dynamic where the predator becomes prey, with Amber feasting on the Beast.  In another part, the narrator reflects on a river serving as a sanctuary during a prairie fire. The narrator’s parents are implied to have died before their bodies were consumed by flames, leaving the narrator abandoned and without resources. The river provides comfort, with hands emerging from the water to cradle the narrator’s soot-covered body.  The text also mentions Bronte worshiping the Minotaur Asterion’s cock, describing their intimate and obsessive relationship with the creature. This segment focuses on Bronte’s desire and submission to the Minotaur’s dominance.  Finally, the story concludes with five bodies—those of a doctor, twins, a taxidermist, and a camgirl—being laid in shallow graves. Worms feast on the decaying flesh, leading to the growth of embryos within them. These embryos are nourished by the corpses and eventually burst forth, suggesting a cycle of death and rebirth tied to the natural world.  Key details about deaths: - The parents’ deaths are implied, with their bodies consumed by fire in the prairie inferno. - The five victims (a doctor, twins, a taxidermist, and a camgirl) are buried in shallow graves, but the cause of their deaths is not explicitly stated. Their bodies serve as nourishment for worms, leading to the formation of embryos that eventually emerge.  No specific murderers or perpetrators are identified in the text; the deaths appear to be tied to environmental disasters or natural processes rather than deliberate acts of violence.";Incorrect;All three elements have FP or FN.;7210
;;"""All five bodies were laid to rest in their shallow graves, all in a neat row. A doctor, a set of twins, a taxidermist,  and a camgirl. The freshly disturbed earth was as dark as the sky above.""";narrator;third;a taxidermist;taxidermist;1;0;0;0;unspecified;;0;0;0;1;unspecified;;0;0;0;1;"The text describes several scenarios involving death and intimate encounters. In one narrative, Amber is drawn to a monstrous Beast with obsidian-like eyes and red fur, engaging in a passionate and sexual encounter with the creature. The Beast, known for devouring humans, becomes submissive as Amber explores its body, focusing on its pussy. This segment highlights a dynamic where the predator becomes prey, with Amber feasting on the Beast.  In another part, the narrator reflects on a river serving as a sanctuary during a prairie fire. The narrator’s parents are implied to have died before their bodies were consumed by flames, leaving the narrator abandoned and without resources. The river provides comfort, with hands emerging from the water to cradle the narrator’s soot-covered body.  The text also mentions Bronte worshiping the Minotaur Asterion’s cock, describing their intimate and obsessive relationship with the creature. This segment focuses on Bronte’s desire and submission to the Minotaur’s dominance.  Finally, the story concludes with five bodies—those of a doctor, twins, a taxidermist, and a camgirl—being laid in shallow graves. Worms feast on the decaying flesh, leading to the growth of embryos within them. These embryos are nourished by the corpses and eventually burst forth, suggesting a cycle of death and rebirth tied to the natural world.  Key details about deaths: - The parents’ deaths are implied, with their bodies consumed by fire in the prairie inferno. - The five victims (a doctor, twins, a taxidermist, and a camgirl) are buried in shallow graves, but the cause of their deaths is not explicitly stated. Their bodies serve as nourishment for worms, leading to the formation of embryos that eventually emerge.  No specific murderers or perpetrators are identified in the text; the deaths appear to be tied to environmental disasters or natural processes rather than deliberate acts of violence.";Correct;No errors for Victim, Perpetrator, or Mode of Demise.;7210
MIN;SUM;"""She could see the flesh of her friends floating to the surface, joined by a swirl of wild onions and dandelion greens.""";narrator;third;Daisy's friends;;0;0;1;0;a troll;;0;0;1;0;being eaten;;0;0;1;0;"The text describes several scenarios involving death and intimate encounters. In one narrative, Amber is drawn to a monstrous Beast with obsidian-like eyes and red fur, engaging in a passionate and sexual encounter with the creature. The Beast, known for devouring humans, becomes submissive as Amber explores its body, focusing on its pussy. This segment highlights a dynamic where the predator becomes prey, with Amber feasting on the Beast.  In another part, the narrator reflects on a river serving as a sanctuary during a prairie fire. The narrator’s parents are implied to have died before their bodies were consumed by flames, leaving the narrator abandoned and without resources. The river provides comfort, with hands emerging from the water to cradle the narrator’s soot-covered body.  The text also mentions Bronte worshiping the Minotaur Asterion’s cock, describing their intimate and obsessive relationship with the creature. This segment focuses on Bronte’s desire and submission to the Minotaur’s dominance.  Finally, the story concludes with five bodies—those of a doctor, twins, a taxidermist, and a camgirl—being laid in shallow graves. Worms feast on the decaying flesh, leading to the growth of embryos within them. These embryos are nourished by the corpses and eventually burst forth, suggesting a cycle of death and rebirth tied to the natural world.  Key details about deaths: - The parents’ deaths are implied, with their bodies consumed by fire in the prairie inferno. - The five victims (a doctor, twins, a taxidermist, and a camgirl) are buried in shallow graves, but the cause of their deaths is not explicitly stated. Their bodies serve as nourishment for worms, leading to the formation of embryos that eventually emerge.  No specific murderers or perpetrators are identified in the text; the deaths appear to be tied to environmental disasters or natural processes rather than deliberate acts of violence.";Incorrect;All three elements have FP or FN.;7210
MIN;SUM;"""Artemis knew the silver had to be a burning agony, but the wolves refused to yield. They tore open throats and pulled limbs from their sockets.""";narrator;third;hunters;;0;0;1;0;werewolves;;0;0;1;0;slashing throat;;0;0;1;0;"The text describes several scenarios involving death and intimate encounters. In one narrative, Amber is drawn to a monstrous Beast with obsidian-like eyes and red fur, engaging in a passionate and sexual encounter with the creature. The Beast, known for devouring humans, becomes submissive as Amber explores its body, focusing on its pussy. This segment highlights a dynamic where the predator becomes prey, with Amber feasting on the Beast.  In another part, the narrator reflects on a river serving as a sanctuary during a prairie fire. The narrator’s parents are implied to have died before their bodies were consumed by flames, leaving the narrator abandoned and without resources. The river provides comfort, with hands emerging from the water to cradle the narrator’s soot-covered body.  The text also mentions Bronte worshiping the Minotaur Asterion’s cock, describing their intimate and obsessive relationship with the creature. This segment focuses on Bronte’s desire and submission to the Minotaur’s dominance.  Finally, the story concludes with five bodies—those of a doctor, twins, a taxidermist, and a camgirl—being laid in shallow graves. Worms feast on the decaying flesh, leading to the growth of embryos within them. These embryos are nourished by the corpses and eventually burst forth, suggesting a cycle of death and rebirth tied to the natural world.  Key details about deaths: - The parents’ deaths are implied, with their bodies consumed by fire in the prairie inferno. - The five victims (a doctor, twins, a taxidermist, and a camgirl) are buried in shallow graves, but the cause of their deaths is not explicitly stated. Their bodies serve as nourishment for worms, leading to the formation of embryos that eventually emerge.  No specific murderers or perpetrators are identified in the text; the deaths appear to be tied to environmental disasters or natural processes rather than deliberate acts of violence.";Incorrect;All three elements have FP or FN.;7210
FNmin;SUM;"""Hands beneath the river, formed of mud and fish bones and rusted cans. They grabbed at my legs and pulled me under. Brown water filled my lungs as I slipped further and further into that polluted kingdom.""";narrator;third;unspecified;;0;0;0;1;sea monsters;;0;0;1;0;drowning;;0;0;1;0;"The text describes several scenarios involving death and intimate encounters. In one narrative, Amber is drawn to a monstrous Beast with obsidian-like eyes and red fur, engaging in a passionate and sexual encounter with the creature. The Beast, known for devouring humans, becomes submissive as Amber explores its body, focusing on its pussy. This segment highlights a dynamic where the predator becomes prey, with Amber feasting on the Beast.  In another part, the narrator reflects on a river serving as a sanctuary during a prairie fire. The narrator’s parents are implied to have died before their bodies were consumed by flames, leaving the narrator abandoned and without resources. The river provides comfort, with hands emerging from the water to cradle the narrator’s soot-covered body.  The text also mentions Bronte worshiping the Minotaur Asterion’s cock, describing their intimate and obsessive relationship with the creature. This segment focuses on Bronte’s desire and submission to the Minotaur’s dominance.  Finally, the story concludes with five bodies—those of a doctor, twins, a taxidermist, and a camgirl—being laid in shallow graves. Worms feast on the decaying flesh, leading to the growth of embryos within them. These embryos are nourished by the corpses and eventually burst forth, suggesting a cycle of death and rebirth tied to the natural world.  Key details about deaths: - The parents’ deaths are implied, with their bodies consumed by fire in the prairie inferno. - The five victims (a doctor, twins, a taxidermist, and a camgirl) are buried in shallow graves, but the cause of their deaths is not explicitly stated. Their bodies serve as nourishment for worms, leading to the formation of embryos that eventually emerge.  No specific murderers or perpetrators are identified in the text; the deaths appear to be tied to environmental disasters or natural processes rather than deliberate acts of violence.";Incorrect;Errors but no TPs.;7210
