Error Type;Error Scope;(Major) Character Death Evidence;Presentation_Mode;Narrator_POV;Canonical_character_name;num_AO3_stories;Qrank;Victim;Victim_P;Victim_TP;Victim_FP;Victim_FN;Victim_TN;Canonical_character_name.1;num_AO3_stories.1;Qrank.1;Perpetrator;Perpetrator_P;Perpetrator_TP;Perpetrator_FP;Perpetrator_FN;Perpetrator_TN;Mode of Demise;Mode of Demise_P;Mode of Demise_TP;Mode of Demise_FP;Mode of Demise_FN;Mode of Demise_TN;Classification;Reason;words
MAJ;KE;"""Cassandra, stripped of her clothing, picked up the dual-bladed dagger, took Iphigenia’s place under the cloth, and the mask covered her eyes."" [...] ""“Kiss me, Calchas, and your death through me.” With a mighty thrust, she yanked him down, breast to breast. Heart to heart. The dual bladed dagger sank deep into them both.""";narrator;third;Cassandra (Ancient Greek Religion & Lore);333;1443881;Cassandra;Cassandra;1;0;0;0;Calchas (Ancient Greek Religion & Lore);18;73219;---;Calchas;0;1;0;0;self-sacrifice/stabbing;stabbing;1;0;0;0;Partially Correct;Errors in: Perpetrator (FP or FN) with at least one TP;2229
MAJ;KE;"""They were even angry that this delicate woman was to be sacrificed to the gods, her throat cut and her heart torn out to be burned on the sacred altar.""";narrator;third;Iphigenia (Ancient Greek Religion & Lore);148;578453;Iphigenia;;0;0;1;0;Agamemnon (Ancient Greek Religion & Lore);353;1387624;Agamemnon;;0;0;1;0;sacrifice;;0;0;1;0;Incorrect;All three elements have FP or FN.;2229
MAJ;KE;"""I left her no choice, and she sacrified her life to turn into a tree.""";narrator;first;Daphne (Ancient Greek Religion & Lore);63;532458;Daphne;Daphne;1;0;0;0;Apollo (Ancient Greek Religion & Lore);1682;4879975;---;Apollo;0;1;0;0;transformation;transformation;1;0;0;0;Partially Correct;Errors in: Perpetrator (FP or FN) with at least one TP;1337
MAJ;KE;"""I dared Zephyros, the West Wind, who also loved Hyacinthus. I dared him to take him away from me. My greed caused his death.""";narrator;first;Hyacinthus (Ancient Greek Religion & Lore);287;356022;Hyacinthus;Hyacinthus;1;0;0;0;Zephyrus (Ancient Greek Religion & Lore);115;409046;Zephyrus;Apollo;0;1;1;0;discus (implied);poison;0;1;1;0;Partially Correct;Errors in: Perpetrator (FP or FN), Mode of Demise (FP or FN) with at least one TP;1337
MAJ;KE;"""My heart stopped. So did his. A slight change in the wind destroyed everything. Instead of catching the diskus,it hit his head. Blood trickled from his head.""";narrator;first;Hyacinthus (Ancient Greek Religion & Lore);287;356022;Hyacinthus;;0;0;1;0;;;;---;;0;0;0;1;discus;;0;0;1;0;Incorrect;Errors but no TPs.;1337
MAJ;KE;"""The cock was swelling with arousal, becoming so engorged that Daisy could feel her own looming death as she gazed upon it.""";narrator;third;Daisy Underwood;43;;Daisy;;0;0;1;0;;;;a troll;;0;0;1;0;intercourse/rape;;0;0;1;0;Incorrect;All three elements have FP or FN.;7210
MIN;KE;"""She could see the flesh of her friends floating to the surface, joined by a swirl of wild onions and dandelion greens.""";narrator;third;Daisy Underwood;43;;Daisy's friends;;0;0;1;0;;;;a troll;;0;0;1;0;being eaten;;0;0;1;0;Incorrect;All three elements have FP or FN.;7210
MIN;KE;"""All five bodies were laid to rest in their shallow graves, all in a neat row. A doctor, a set of twins, a taxidermist,  and a camgirl. The freshly disturbed earth was as dark as the sky above.""";narrator;third;;;;a camgirl;;0;0;1;0;;;;unspecified;;0;0;0;1;unspecified;;0;0;0;1;Incorrect;Errors but no TPs.;7210
MIN;KE;"""All five bodies were laid to rest in their shallow graves, all in a neat row. A doctor, a set of twins, a taxidermist,  and a camgirl. The freshly disturbed earth was as dark as the sky above.""";narrator;third;;;;a doctor;;0;0;1;0;;;;unspecified;;0;0;0;1;unspecified;;0;0;0;1;Incorrect;Errors but no TPs.;7210
MIN;KE;"""And so he squeezed the hunter’s throat, crushing the man’s esophagus and puncturing his arteries with sharpened claws. Blood sprayed from the hunter, and his body spasmed pathetically.""";narrator;third;;;;a hunter;;0;0;1;0;;;;a werewolf;;0;0;1;0;being choked;;0;0;1;0;Incorrect;All three elements have FP or FN.;7210
MIN;KE;"""There’s been concerns about the disappearances in our community, and I think your involvement would be so helpful.""";direct speech;third;;;;a neighbour;;0;0;1;0;;;;a werewolf neighbour;;0;0;1;0;being eaten;;0;0;1;0;Incorrect;All three elements have FP or FN.;7210
MIN;KE;"""All five bodies were laid to rest in their shallow graves, all in a neat row. A doctor, a set of twins, a taxidermist,  and a camgirl. The freshly disturbed earth was as dark as the sky above.""";narrator;third;;;;a set of twins;;0;0;1;0;;;;unspecified;;0;0;0;1;unspecified;;0;0;0;1;Incorrect;Errors but no TPs.;7210
MIN;KE;"""All five bodies were laid to rest in their shallow graves, all in a neat row. A doctor, a set of twins, a taxidermist,  and a camgirl. The freshly disturbed earth was as dark as the sky above.""";narrator;third;;;;a taxidermist;;0;0;1;0;;;;unspecified;;0;0;0;1;unspecified;;0;0;0;1;Incorrect;Errors but no TPs.;7210
MAJ;KE;"""His organs were beautifully wet and shiny as they laid upon the ground, gravel clinging to them as the dragon kicked them aside with its powerful legs."" [...] ""The dragon leaned down and buried its muzzle in the fresh cavern of Briar’s shredded abdomen. The creature didn’t devour Briar, not yet. Dragons preferred to play with their meals before they gave into their hunger."" [...] ""The dragon opened its maw, and it began to feed.""";narrator;third;;;;Brian;;0;0;1;0;;;;a dragon;;0;0;1;0;being eaten;;0;0;1;0;Incorrect;All three elements have FP or FN.;7210
MIN;KE;"""Curiosity had its price, and his body would be offered up to pay that debt. The shark would make certain of that.""";indirect thought;third;;;;he;;0;0;1;0;;;;a shark;;0;0;1;0;being eaten;;0;0;1;0;Incorrect;All three elements have FP or FN.;7210
MIN;KE;"""Her brother’s corpse laid at her feet, belly already ruptured and skin a kaleidoscope of color.""";narrator;third;;;;her brother;;0;0;1;0;;;;a bird;;0;0;1;0;beaten to death;;0;0;1;0;Incorrect;All three elements have FP or FN.;7210
MIN;KE;"""Artemis knew the silver had to be a burning agony, but the wolves refused to yield. They tore open throats and pulled limbs from their sockets.""";narrator;third;;;;hunters;;0;0;1;0;;;;werewolves;;0;0;1;0;slashing throat;;0;0;1;0;Incorrect;All three elements have FP or FN.;7210
MIN;KE;"""Artemis knew the silver had to be a burning agony, but the wolves refused to yield. They tore open throats and pulled limbs from their sockets.""";narrator;third;;;;hunters;;0;0;1;0;;;;werewolves;;0;0;1;0;tearing to pieces;;0;0;1;0;Incorrect;All three elements have FP or FN.;7210
MAJ;KE;"""She thought of that man’s audacity—of how he brought his club down upon her fragile body—and the contempt that sloshed within Ilona’s body almost made her crawl back out of that casket."" [...] ""Her fingers twitched once, twice, and then they stilled.""";indirect thought;third;;;;Ilona;;0;0;1;0;;;;a man;;0;0;1;0;slaying;;0;0;1;0;Incorrect;All three elements have FP or FN.;7210
MIN;KE;"""The cabin was forsaken, as were the bodies within. My parents had been lost even before the fire consumed their bloated corpses.""";indirect thought;first;;;;NN's parents;;0;0;1;0;;;;---;;0;0;0;1;burning alive;;0;0;1;0;Incorrect;Errors but no TPs.;7210
MIN;KE;"""The bird tore at her with its massive beak, taking away chunks of hair and leaving blood gashes instead. She screamed her frustration and pulled away from the creature, but it was relentless in its assault."" [...] ""She wanted to scream, but the bird swooped down upon her, claws taking her own eyes. She would face her death in darkness.""";narrator;third;;;;she;;0;0;1;0;;;;a bird;;0;0;1;0;being eaten;;0;0;1;0;Incorrect;All three elements have FP or FN.;7210
MIN;KE;"""The embalmer’s head fell back, and the gash along his throat spread into a visceral grin.""";narrator;third;;;;the embalmer;;0;0;1;0;;;;Kayde and Luanne;;0;0;1;0;slashing throat;;0;0;1;0;Incorrect;All three elements have FP or FN.;7210
MIN;KE;"""The claws left my skin. Blood welled up from the countless wounds, as though to herald the glassy eyes that then emerged from the gore. They gazed both everywhere and nowhere, the dark pupils framed by eerily pale blue.""";narrator;first;;;;unspecified;;0;0;0;1;;;;angels;;0;0;1;0;stabbing;;0;0;1;0;Incorrect;Errors but no TPs.;7210
MIN;KE;"""Hands beneath the river, formed of mud and fish bones and rusted cans. They grabbed at my legs and pulled me under. Brown water filled my lungs as I slipped further and further into that polluted kingdom.""";narrator;third;;;;unspecified;;0;0;0;1;;;;sea monsters;;0;0;1;0;drowning;;0;0;1;0;Incorrect;Errors but no TPs.;7210
MIN;KE;"""The claws left my skin. Blood welled up from the countless wounds, as though to herald the glassy eyes that then emerged from the gore. They gazed both everywhere and nowhere, the dark pupils framed by eerily pale blue.""";narrator;first;;;;;humans;0;1;0;0;;;;;beast;0;1;0;0;;devouring;0;1;0;0;Incorrect;All three elements have FP or FN.;7210
MIN;KE;"""The claws left my skin. Blood welled up from the countless wounds, as though to herald the glassy eyes that then emerged from the gore. They gazed both everywhere and nowhere, the dark pupils framed by eerily pale blue.""";narrator;first;;;;;parents;0;1;0;0;;;;;;0;0;0;1;;;0;0;0;1;Incorrect;Errors but no TPs.;7210
MAJ;KE;"""He died by the arrow, aided by Apollo.""";narrator;first;Achilles (Ancient Greek Religion & Lore);1113;4188968;Achilles;Achilles;1;0;0;0;Apollo (Ancient Greek Religion & Lore);1682;4879975;Apollo;;0;0;1;0;being shot;;0;0;1;0;Partially Correct;Errors in: Perpetrator (FP or FN), Mode of Demise (FP or FN) with at least one TP;2503
MAJ;KE;"""Hector begged just as I did, and met the same fate of mine.""";narrator;first;Hector (Ancient Greek Religion & Lore);491;787684;Hector;;0;0;1;0;Achilles (Ancient Greek Religion & Lore);1113;4188968;Achilles;;0;0;1;0;stabbing;;0;0;1;0;Incorrect;All three elements have FP or FN.;2503
;;"""“Perhaps such things pass for virtue among the gods. But how is there glory in taking a life? We die so easily. Would you make him another Pyrrhus? Let the stories of him be something more.”"" [...] ""She tells me of how Pyrrhus died, and I ask if this is the son she prefers to Achilles.""";narrator;first;Neoptolemus | Pyrrhus (Ancient Greek Religion & Lore);109;313601;Pyrrhus;Pyrrhus;1;0;0;0;;;;---;;0;0;0;1;unspecified;;0;0;0;1;Correct;No errors for Victim, Perpetrator, or Mode of Demise.;2503
MAJ;KE;"""It pierced through my stomach, and Hector twisted it as if stirring soup. He has killed three men with one spear, I thought bitterly. Even the throbbing pain in my stomach did not hurt as much as my heart. The Fates were cruel. As I slowly felt my soul departing, I could only think of the better days, with Achilles. Achilles. It was the last thing I thought before I saw only darkness.""";indirect thought;first;Patroclus of Opus (Ancient Greek Religion & Lore);889;946352;Patroclus;Patroclus;1;0;0;0;Hector (Ancient Greek Religion & Lore);491;787684;Hector;;0;0;1;0;stabbing;;0;0;1;0;Partially Correct;Errors in: Perpetrator (FP or FN), Mode of Demise (FP or FN) with at least one TP;2503
MAJ;KE;"""Look at how he will be remembered now. Killing Hector, killing Troilus.""";direct speech;first;Troilus (Ancient Greek Religion & Lore);28;72535;Troilus;;0;0;1;0;Achilles (Ancient Greek Religion & Lore);1113;4188968;Achilles;;0;0;1;0;unspecified;;0;0;0;1;Incorrect;Errors but no TPs.;2503
MIN;KE;"""He continued to kill, striking down hero after hero.""";narrator;first;;;;heros;;0;0;1;0;Achilles (Ancient Greek Religion & Lore);1113;4188968;Achilles;;0;0;1;0;unspecified;;0;0;0;1;Incorrect;Errors but no TPs.;2503
MIN;KE;"""Then he killed and killed, filling the river with bodies of Trojans.""";narrator;first;;;;Trojans;;0;0;1;0;Achilles (Ancient Greek Religion & Lore);1113;4188968;Achilles;;0;0;1;0;unspecified;;0;0;0;1;Incorrect;Errors but no TPs.;2503
MIN;KE;"""""""I am going to host a very special challenge. A hunt unlike any I've ever had you do, tracking a beast deadlier than any you've ever faced. Any of you can choose to abstain from the challenge if you wish, but those of you who compete have a chance for a boon worth more than any gold or jewels. A night with me showered in my splendor and a gift worthy of a goddess. She smiled, proud of her con. ""What say you?"" She asked before giving any further details.Out of the many hunters she had, most were weary of their goddesses objective. Some of the older girls knew the goddess was usually hiding a trick or two up her sleeve when it came to granting rewards and boons. But in the end, three of the girls offered themselves for the task, willing to go out and hunt the beast like no other in hopes of pleasing their patron.... That had been two weeks ago. And now, the lone survivor of the girls had returned with a Griffins coat in tow and her body fully battleworn. She presented the coat of intricate feathers to her goddess and immediately felt cleansed of all dirt and grime from simply being in Artemis' luminous presence. """"";direct speech;third;;;;two of Artemis' maidens;;0;0;1;0;;;;a griffin;;0;0;1;0;unspecified;;0;0;0;1;Incorrect;Errors but no TPs.;4430
;;"""Leuce is laying on her couch. She is old. She is tired. She is feeling lonely though for most of her life, she was never alone. ""Aidoneus…"" she calls for him weakly. Hades enters her room. He stops by the door. He can tell she is not well. The god of the dead knows what death looks like. ""Leuce,"" he kneels by her and takes her hands in his own.""";narrator;third;Leuce (Ancient Greek Religion & Lore);21;61829;Leuce;Leuce;1;0;0;0;;;;---;;0;0;0;1;old age;natural causes;1;0;0;0;Correct;No errors for Victim, Perpetrator, or Mode of Demise.;865
MAJ;KE;"""I felt a sharp pain in my gut and I fell to my knees again. I touched my stomach and it was blood. I was bleeding. Behind me  was a soldier who had just removed his sword, freshly coated in my blood."" [...] ""I bleed the blood of man. I know this because i have seen it. I did not think I would belong in this world like others do, so I tried to leave. I am not an immortal creation of the gods like he is. I designed him and the gods granted my most valued wish. I worry what he will do when I’ve gone from here. I’m sorry, my love- I know you will be upset with me, and then with the gods that created you. I am not meant to live forever, and you are not meant to die forever. """;narrator;first;;;;Luctus Sine Lumen;;0;0;1;0;;;;a soldier;;0;0;1;0;stabbing;;0;0;1;0;Incorrect;All three elements have FP or FN.;3305
MIN;KE;"""Novellus immediately grabbed the sword that had been next to him and sliced one of them completely in half, the second one was decapitated, and the last one, he stabbed him- in the same way I was stabbed.""";narrator;first;;;;soldier;;0;0;1;0;;;;Novellus;;0;0;1;0;slashed in half;;0;0;1;0;Incorrect;All three elements have FP or FN.;3305
MIN;KE;"""Novellus immediately grabbed the sword that had been next to him and sliced one of them completely in half, the second one was decapitated, and the last one, he stabbed him- in the same way I was stabbed.""";narrator;first;;;;soldier;;0;0;1;0;;;;Novellus;;0;0;1;0;beheading;;0;0;1;0;Incorrect;All three elements have FP or FN.;3305
MIN;KE;"""Novellus immediately grabbed the sword that had been next to him and sliced one of them completely in half, the second one was decapitated, and the last one, he stabbed him- in the same way I was stabbed.""";narrator;first;;;;soldier;;0;0;1;0;;;;Novellus;;0;0;1;0;stabbing;;0;0;1;0;Incorrect;All three elements have FP or FN.;3305
MAJ;KE;;;;;;;;narrator (Nove);0;1;0;0;;;;;none;0;1;0;0;;natural causes;0;1;0;0;Incorrect;All three elements have FP or FN.;3305
MAJ;KE;"""December 24 year long forgotten Zagreus got to curious and drowned also remember as a day hades and Persephone will never forget""";narrator;third;Zagreus (Ancient Greek Religion & Lore);87;559536;Zagreus;;0;0;1;0;;;;---;;0;0;0;1;drowning;;0;0;1;0;Incorrect;Errors but no TPs.;4242
MAJ;KE;"""He heard crackling beneath him and he realized the titans started a fire to burn him alive. He felt his very own skin tearing away his muscles, blood, and organs. He yelled screamed and cried but they didn’t care. They ripped him apart first the legs then the arms then they went to his head""";narrator;third;Zagreus (Ancient Greek Religion & Lore);87;559536;Zagreus;;0;0;1;0;;;2168747;titans;;0;0;1;0;burning alive;;0;0;1;0;Incorrect;All three elements have FP or FN.;4242
MAJ;KE;"""He heard crackling beneath him and he realized the titans started a fire to burn him alive. He felt his very own skin tearing away his muscles, blood, and organs. He yelled screamed and cried but they didn’t care. They ripped him apart first the legs then the arms then they went to his head""";narrator;third;Zagreus (Ancient Greek Religion & Lore);87;559536;Zagreus;;0;0;1;0;;;2168747;titans;;0;0;1;0;tearing to pieces;;0;0;1;0;Incorrect;All three elements have FP or FN.;4242
MAJ;KE;"""Hyacinthus: (struck by the discus): O red! I’m not drunk, so why does my head turn round so heavily and my sight spin a spiderweb over my eyes and I’m lying on the ground and each sound is magnified thousands of times My heart clutches as it climbs and the breath in my throat stops solid and still, as the colours so shrill of the world strike the light’s note my watery limbs float away… O my flying eyes! O the veins in my wings sing! (Dies.)""";direct speech;first;Hyacinthus (Ancient Greek Religion & Lore);287;356022;Hyacinthus;Hyacinthus;1;0;0;0;Apollo (Ancient Greek Religion & Lore);1682;4879975;---;Apollo;0;1;0;0;discus;struck by discus;1;0;0;0;Partially Correct;Errors in: Perpetrator (FP or FN) with at least one TP;1677
;;"""Oh the beautiful son of Ella Corynthus who was taken from her at the hands of Paris. —You killed my son— she looks at him.— my son, our son— she cries and falls to the ground.""";direct speech;third;Oenone (Ancient Greek Religion & Lore);13;68190;the son of Ella Corynthus;Oenone's son;1;0;0;0;Paris (Ancient Greek Religion & Lore);378;1350461;Paris;Paris;1;0;0;0;unspecified;killed by own father;1;0;0;0;Correct;No errors for Victim, Perpetrator, or Mode of Demise.;590
MAJ;KE;"""You disgusting man,"" she points out, ""you who abandoned me now ask me for a new life in exchange for my healing you, but that will be impossible,""";direct speech;third;Paris (Ancient Greek Religion & Lore);378;1350461;Paris;Paris;1;0;0;0;Oenone (Ancient Greek Religion & Lore);13;68190;Oenone;war/death;0;1;1;0;failure to provide assistance;dying from wounds;0;1;1;0;Partially Correct;Errors in: Perpetrator (FP or FN), Mode of Demise (FP or FN) with at least one TP;590
;;"""This cute one is now four years old and he lost his father. His father’s death is sad but the most miserable thing is, that he left us by his own hand."" [...] ""Tecmessa quickly takes her son here, where her husband and her child’s father lay. My brother’s corpse. """;narrator;first;Ajax the Lesser son of Oileus (Ancient Greek Religion & Lore);46;158526;Ajax;Ajax;1;0;0;0;;;;---;;0;0;0;1;suicide;suicide;1;0;0;0;Correct;No errors for Victim, Perpetrator, or Mode of Demise.;1085
MIN;KE;;;;;;;;cattle and lambs;0;1;0;0;Ajax the Lesser son of Oileus (Ancient Greek Religion & Lore);46;158526;;Ajax;0;1;0;0;;slaughter;0;1;0;0;Incorrect;All three elements have FP or FN.;1085
MAJ;KE;"""Look!” Hyacinthus called out to me. “Look at how far mine is going!” I grinned, ready to indulge him. Something then changed. I felt like we were being watched by jealous eyes, angry eyes. The wind felt foul, unnatural, like something else was in command of it.If I cannot have him, then no one can! Zephyrus. I dropped the pack just as the wind changed direction again, and then— Bone shattered. The smell of blood filled the air. A body collapsed. I got to Hyacinthus before he hit the ground. I tried to heal him, to revive him, but his life-force continued to spill out of him. I heard cackling. The Fates. This was Hyacinthus’ final destiny."" [...] ""He smiled. His hand, weak and trembling, tried to reach up to me, and then, he was gone.""";narrator;first;Hyacinthus (Ancient Greek Religion & Lore);287;356022;Hyacinthus;Hyacinthus;1;0;0;0;Zephyrus (Ancient Greek Religion & Lore);115;409046;Zephyrus;Zephyrus;1;0;0;0;discus;bone shattered by unnatural wind;0;1;1;0;Partially Correct;Errors in: Mode of Demise (FP or FN) with at least one TP;3309
MAJ;KE;"“It is the reminder of Achilles. I pushed Patroclus off the wall.” [...] ""“I pushed him off the wall, stripped his armour off of him. Made it easy for Hector to kill him. It was cowardly, I see it now. Patroclus fought bravely, and with honour. He deserved a better death.”""";direct speech;first;Patroclus of Opus (Ancient Greek Religion & Lore);889;946352;Patroclus;;0;0;1;0;Apollo (Ancient Greek Religion & Lore);1682;4879975;Apollo, Hector;;0;0;1;0;falling;;0;0;1;0;Incorrect;All three elements have FP or FN.;3309
;;"""No one will be sure how many times the princess came before her heart gave out, overwhelmed by more pleasure and pain, more sensation, than the human body is equipped to burn.""";narrator;third;Glauce | Creusa (Ancient Greek Religion & Lore);18;19640;Glauce;princess;1;0;0;0;Medea (Ancient Greek Religion & Lore);104;1638181;Medea;witch;1;0;0;0;manipulation/intercourse;overwhelmed by pleasure and pain;1;0;0;0;Correct;No errors for Victim, Perpetrator, or Mode of Demise.;1789
MIN;KE;"""Nobody will know how many times she had screamed the witch's name before slumping down onto the corpse of her father, whose own heart had stopped beating the very first time she dragged an orgasm from his cock.""";narrator;third;Glauce | Creusa (Ancient Greek Religion & Lore);18;19640;Glauce's father;father;1;0;0;0;Medea (Ancient Greek Religion & Lore);104;1638181;Medea;princess;0;1;1;0;manipulation/intercourse;heart stopped beating;0;1;1;0;Partially Correct;Errors in: Perpetrator (FP or FN), Mode of Demise (FP or FN) with at least one TP;1789
MAJ;KE;"""After some time, they had practically the same conversation about some son of Apollo named Asclepius who had become a better healer than his father and there were rumours that given enough time, he would overcome mortality itself. Hermes cheerfully stated that the youth would be thunderbolted, and there was nothing Prometheus could do about it.""";indirect speech;third;Asclepius (Ancient Greek Religion & Lore);85;1199368;Asclepius;;0;0;1;0;Zeus (Ancient Greek Religion & Lore);1639;6790761;Zeus;;0;0;1;0;struck by lightening;;0;0;1;0;Incorrect;All three elements have FP or FN.;7296
MAJ;KE;"""‘For a term of my agony… someone of my people should give away his portion of ambrosia and die of his own free will… This is the condition.’"" [...] ""‘I know one who is of the divine folk and wants to die,’ he said. ‘My friend, the centaur Chiron. I unintentionally injured him with a poisoned arrow. Now, he is having an incurable would causing him great pain. He has told me that he wishes just to complete some affairs, and then he’ll stop eating ambrosia so that he finally gets rid of his misery.’""";direct speech;third;Chiron (Ancient Greek Religion & Lore);152;849007;Chiron;;0;0;1;0;;;;---;;0;0;0;1;self-sacrifice/suicide;;0;0;1;0;Incorrect;Errors but no TPs.;7296
MAJ;KE;"""They refused to say which ones had visited you and rebelled, and I could not identify them because they were masked. So Father Zeus deprived them all of ambrosia. Those of them who are dependent will die."" [...] ""‘Do you remember Leuce, the stupid Oceanid who had the folly to rebel against Zeus at your bidding? Well, she died, as expected. And she spent her last years in Hades’ cave because she had become too abhorrent to show herself in public.’""";direct speech;third;Leuce (Ancient Greek Religion & Lore);21;61829;Leuce;;0;0;1;0;Zeus (Ancient Greek Religion & Lore);1639;6790761;Zeus;;0;0;1;0;withdrawal;;0;0;1;0;Incorrect;All three elements have FP or FN.;7296
MAJ;KE;"""‘A human chieftain named Lycaon tried to serve Father Zeus a meal of human flesh,’ he said. ‘Father destroyed him and his family, but not one house alone deserved to perish; over all the earth ferocious deeds prevail, with all of your men conspiring in evil.""";direct speech;third;Lycaon of Arcadia (Ancient Greek Religion & Lore);15;187385;Lycaon;;0;0;1;0;Zeus (Ancient Greek Religion & Lore);1639;6790761;Zeus;;0;0;1;0;unspecified;;0;0;0;1;Incorrect;Errors but no TPs.;7296
MAJ;KE;"""‘Do you know about Plutus son of Demeter?’ he asked once. ‘He mingled with the humans, taught them how to prosper. Father Zeus summoned him back to Olympus but he tried to hide among the mortals. Well, he was soon caught of course, and Father intends to sentence him to death.’""";direct speech;third;Plutus (Ancient Greek Religion & Lore);14;232230;Plutus;;0;0;1;0;Zeus (Ancient Greek Religion & Lore);1639;6790761;Zeus;;0;0;1;0;unspecified;;0;0;0;1;Incorrect;Errors but no TPs.;7296
MAJ;KE;"""So the years were passing, and as Prometheus was forced to endure pain and cold he could not tolerate for long, he gradually disintegrated, disappeared, and I took his place to occupy the pathetic remnant of his body""";narrator;third;Prometheus (Ancient Greek Religion & Lore);138;4356558;Prometheus;;0;0;1;0;Zeus (Ancient Greek Religion & Lore);1639;6790761;Zeus;;0;0;1;0;disintegration;;0;0;1;0;Incorrect;All three elements have FP or FN.;7296
MIN;KE;"""And we suppose that Father Zeus’ advise to her not to open the jar will make her just postpone the opening until she is with her people, where the things can spread well. It is just and right that your brother will bring doom to the mortals whom you in self-will reverenced too much. They will most likely be extinct in a few years.’"" [...] ""‘No, they won’t. Their bodies have good defenses. Some will survive,’ said Prometheus. But he knew that many would die, most of them young children, and while this attack would be survived by some humans, the next one would not be."" [...] ""Especially the children, they are dying in droves.""";direct speech;third;;;;mortals, young children;;0;0;1;0;Pandora (Ancient Greek Religion & Lore);51;1433783;Pandora as proxy;;0;0;1;0;illness;;0;0;1;0;Incorrect;All three elements have FP or FN.;7296
MIN;KE;"""Father will cleanse the earth with a great deluge, and then will people the earth with a better race, unlike this one."" [...] ""Then Prometheus had visions of the flood in real time. Zeus gathered all the rain clouds over the inhabited land and made them pour their burden. The torrent destroyed the crops but most humans survived. Now was the turn of Poseidon, Oceanus and the river gods. Subterranean waters bursted as fountains, rivers swell, and the sea hit the land with giant waves. People, livestock, houses, shrines and trees were swept by the water mass. But when it drained into the sea, many were still alive. They were fighting the elements, building dikes, making boats and rafts. Then Zeus told all the gods that if they didn’t want to suffer his wrath, they had to do the job properly this time, and not halfway as with Pandora’s jar. Then Poseidon the Earth-Shaker raised his trident high and brought it down with full force. The earth shook, and the entire plain inside the mountain ring descended. The salt waters found their way and poured inside with irresistible force. Where humans had lived, was now one vast expanse, the land and sea were mingled in the waste of endless waves--a sea without a shore, dark and turbulent like new wine.""";narrator;third;;;;mortals;;0;0;1;0;Zeus (Ancient Greek Religion & Lore);1639;6790761;Zeus;;0;0;1;0;flood;;0;0;1;0;Incorrect;All three elements have FP or FN.;7296
MIN;KE;"""The human women who had been doomed to shiver, starve, die of contagions and finally be drowned, were now considered good enough for the bed of the king of the gods.""";narrator;first;;;;human women;;0;0;1;0;;;;---;;0;0;0;1;starvation;;0;0;1;0;Incorrect;Errors but no TPs.;7296
MIN;KE;"""The human women who had been doomed to shiver, starve, die of contagions and finally be drowned, were now considered good enough for the bed of the king of the gods.""";narrator;first;;;;human women;;0;0;1;0;;;;---;;0;0;0;1;cold;;0;0;1;0;Incorrect;Errors but no TPs.;7296
MIN;KE;"""The human women who had been doomed to shiver, starve, die of contagions and finally be drowned, were now considered good enough for the bed of the king of the gods.""";narrator;first;;;;human women;;0;0;1;0;;;;---;;0;0;0;1;illness;;0;0;1;0;Incorrect;Errors but no TPs.;7296
MIN;KE;"""The human women who had been doomed to shiver, starve, die of contagions and finally be drowned, were now considered good enough for the bed of the king of the gods.""";narrator;first;;;;human women;;0;0;1;0;;;;---;;0;0;0;1;drowning;;0;0;1;0;Incorrect;Errors but no TPs.;7296
MAJ;KE;;;;;;;;Dromaeus;0;1;0;0;;;;;;0;0;0;1;;eternal oblivion;0;1;0;0;Incorrect;Errors but no TPs.;7296
;;"""He remembered traveling to Hades and seeing them, Ajax, Achilles, Agamemnon, and His poor mother.""";indirect thought;third;Achilles (Ancient Greek Religion & Lore);1113;4188968;Achilles;Achilles;1;0;0;0;;;;unspecified;;0;0;0;1;unspecified;;0;0;0;1;Correct;No errors for Victim, Perpetrator, or Mode of Demise.;581
;;"""He remembered traveling to Hades and seeing them, Ajax, Achilles, Agamemnon, and His poor mother.""";indirect thought;third;Agamemnon (Ancient Greek Religion & Lore);353;1387624;Agamemnon;Agamemnon;1;0;0;0;;;;unspecified;;0;0;0;1;unspecified;;0;0;0;1;Correct;No errors for Victim, Perpetrator, or Mode of Demise.;581
;;"""He remembered traveling to Hades and seeing them, Ajax, Achilles, Agamemnon, and His poor mother.""";indirect thought;third;Ajax the Lesser son of Oileus (Ancient Greek Religion & Lore);46;158526;Ajax;Ajax;1;0;0;0;;;;unspecified;;0;0;0;1;unspecified;;0;0;0;1;Correct;No errors for Victim, Perpetrator, or Mode of Demise.;581
MAJ;KE;;;;Astyanax son of Hector (Ancient Greek Religion & Lore);78;177809;;Astyanax;0;1;0;0;;;;;;0;0;0;1;;;0;0;0;1;Incorrect;Errors but no TPs.;581
;;"""He also felt guilty when he would see his sister. She was often crying, Ctimene was still mourning her husband, a man who had not returned with him. Eurylochus was someone of whom Odysseus didn’t get along with much but the sight of his sister crying over her late husband killed him inside perhaps he should have tried harder to stop him.""";indirect thought;third;Eurylochus (EPIC: The Musical);739;34675;Eurylochus;Eurylochus;1;0;0;0;;;;unspecified;;0;0;0;1;unspecified;;0;0;0;1;Correct;No errors for Victim, Perpetrator, or Mode of Demise.;581
;;"""He remembered traveling to Hades and seeing them, Ajax, Achilles, Agamemnon, and His poor mother.""";indirect thought;third;Odysseus (Ancient Greek Religion & Lore);1067;2753680;Odysseus' mother;mother;1;0;0;0;;;;unspecified;;0;0;0;1;unspecified;;0;0;0;1;Correct;No errors for Victim, Perpetrator, or Mode of Demise.;581
